FlightName,SourceName_From,Destination,Dep_From,Arrivel,TotalStops,Duration,Price
SpiceJet,Dubai,Mumbai,10:50,23:55,1 stop via New Delhi,11 h 35 m,AED 739AED 714
,,,,,,,
,,,,,,,
Oman Air,Dubai,Mumbai,17:15,13:20,1 stop via Muscat,18 h 35 m,AED 750AED 725
Etihad Airways,Abu Dhabi,Mumbai,22:05,02:35,Non stop,03 h,AED 792AED 767
Etihad Airways,Dubai,Mumbai,17:20,02:35,1 stop via Abu Dhabi,07 h 45 m,AED 792AED 767
,,,,,,,
Etihad Airways,Dubai,Mumbai,11:30,02:35,1 stop via Abu Dhabi,13 h 35 m,AED 792AED 767
Etihad Airways,Dubai,Mumbai,09:35,02:35,1 stop via Abu Dhabi,15 h 30 m,AED 792AED 767
,,,,,,,
,,,,,,,
Air India,Dubai,Mumbai,23:25,09:50,1 stop via Hyderabad,08 h 55 m,AED 794AED 769
IndiGo,Dubai,Mumbai,10:40,04:10,1 stop via New Delhi,16 h,AED 803AED 778
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,10:40,09:30,1 stop via New Delhi,21 h 20 m,AED 803AED 778
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,10:40,12:50,1 stop via New Delhi,24 h 40 m,AED 803AED 778
,,,,,,,
,,,,,,,
Etihad Airways,Dubai,Mumbai,02:05,02:35,1 stop via Abu Dhabi,23 h,AED 804AED 779
IndiGo,Abu Dhabi,Mumbai,00:40,17:20,1 stop via New Delhi,15 h 10 m,AED 806AED 781
,,,,,,,
,,,,,,,
Air India,Dubai,Mumbai,23:25,23:50,1 stop via Hyderabad,22 h 55 m,AED 810AED 785
Qatar Airways,Dubai,Mumbai,05:30,14:20,1 stop via Doha,07 h 20 m,AED 820AED 795
IndiGo,Dubai,Mumbai,19:40,07:40,1 stop via New Delhi,10 h 30 m,AED 826AED 801
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,08:35,1 stop via New Delhi,11 h 25 m,AED 826AED 801
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,12:00,1 stop via New Delhi,14 h 50 m,AED 826AED 801
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,16:20,1 stop via New Delhi,19 h 10 m,AED 826AED 801
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,18:25,1 stop via New Delhi,21 h 15 m,AED 826AED 801
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,20:25,1 stop via New Delhi,23 h 15 m,AED 826AED 801
,,,,,,,
IndiGo,Dubai,Mumbai,19:40,00:10,1 stop via New Delhi,27 h,AED 826AED 801
,,,,,,,
,,,,,,,
Qatar Airways,Dubai,Mumbai,05:30,02:55,1 stop via Doha,19 h 55 m,AED 830AED 805
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,14:45,"2 stop via Doha,Goa",19 h 30 m,AED 880AED 855
Gulf Air,Dubai,Mumbai,21:00,04:55,1 stop via Bahrain,06 h 25 m,AED 883AED 858
,,,,,,,
,,,,,,,
Gulf Air,Dubai,Mumbai,10:20,20:55,1 stop via Bahrain,09 h 05 m,AED 883AED 858
,,,,,,,
,,,,,,,
Gulf Air,Dubai,Mumbai,12:55,04:55,1 stop via Bahrain,14 h 30 m,AED 883AED 858
Gulf Air,Dubai,Mumbai,10:20,04:55,1 stop via Bahrain,17 h 05 m,AED 883AED 858
,,,,,,,
,,,,,,,
Gulf Air,Dubai,Mumbai,23:35,20:55,1 stop via Bahrain,19 h 50 m,AED 883AED 858
,,,,,,,
,,,,,,,
Gulf Air,Dubai,Mumbai,17:00,20:55,1 stop via Bahrain,26 h 25 m,AED 883AED 858
,,,,,,,
,,,,,,,
Qatar Airways,Sharjah,Mumbai,17:45,02:45,1 stop via Doha,07 h 30 m,AED 980AED 955
,,,,,,,
Qatar Airways,Sharjah,Mumbai,11:20,02:45,1 stop via Doha,13 h 55 m,AED 980AED 955
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,22:20,14:45,1 stop via Hyderabad,14 h 55 m,AED 994AED 969
,,,,,,,
,,,,,,,
IndiGo,Sharjah,Mumbai,05:00,14:50,1 stop via Thiruvananthapuram,08 h 20 m,"AED 1,006AED 981"
IndiGo,Dubai,Mumbai,17:05,08:00,1 stop via Ahmedabad,13 h 25 m,"AED 1,026AED 1,001"
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,17:05,11:20,1 stop via Ahmedabad,16 h 45 m,"AED 1,026AED 1,001"
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,17:05,18:45,1 stop via Ahmedabad,24 h 10 m,"AED 1,026AED 1,001"
,,,,,,,
,,,,,,,
IndiGo,Abu Dhabi,Mumbai,00:40,20:25,1 stop via New Delhi,18 h 15 m,"AED 1,035AED 1,010"
,,,,,,,
,,,,,,,
Air India,Sharjah,Mumbai,00:45,18:10,"3 stop via Kozhikode,New Delhi,Indore",15 h 55 m,"AED 1,071AED 1,046"
IndiGo,Abu Dhabi,Mumbai,02:35,12:35,1 stop via Kochi,08 h 30 m,"AED 1,090AED 1,065"
"SpiceJet, Go First",Dubai,Mumbai,00:10,15:05,1 stop via Ahmedabad,13 h 25 m,"AED 1,106AED 1,081"
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,10:40,20:25,1 stop via New Delhi,08 h 15 m,"AED 1,118AED 1,093"
,,,,,,,
IndiGo,Dubai,Mumbai,10:40,00:10,1 stop via New Delhi,12 h,"AED 1,118AED 1,093"
"SpiceJet, Go First",Dubai,Mumbai,00:10,11:15,1 stop via Ahmedabad,09 h 35 m,"AED 1,123AED 1,098"
"SpiceJet, IndiGo",Dubai,Mumbai,00:10,11:20,1 stop via Ahmedabad,09 h 40 m,"AED 1,158AED 1,133"
"SpiceJet, IndiGo",Dubai,Mumbai,00:10,00:40,1 stop via Ahmedabad,23 h,"AED 1,193AED 1,168"
,,,,,,,
,,,,,,,
"Emirates, Vistara",Dubai,Mumbai,22:00,08:40,1 stop via Hyderabad,09 h 10 m,"AED 1,200AED 1,175"
,,,,,,,
"Emirates, Vistara",Dubai,Mumbai,03:10,14:30,1 stop via Hyderabad,09 h 50 m,"AED 1,209AED 1,184"
,,,,,,,
,,,,,,,
"Emirates, Vistara",Dubai,Mumbai,15:05,08:40,1 stop via Hyderabad,16 h 05 m,"AED 1,209AED 1,184"
,,,,,,,
,,,,,,,
"SpiceJet, IndiGo",Dubai,Mumbai,00:10,18:45,1 stop via Ahmedabad,17 h 05 m,"AED 1,245AED 1,220"
,,,,,,,
,,,,,,,
"Emirates, Vistara",Dubai,Mumbai,22:00,07:55,1 stop via New Delhi,08 h 25 m,"AED 1,300AED 1,275"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,09:00,"2 stop via Doha,Chennai",13 h 45 m,"AED 1,310AED 1,285"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,11:20,11:40,"2 stop via Doha,Chennai",22 h 50 m,"AED 1,310AED 1,285"
,,,,,,,
,,,,,,,
